,PID,First_Name,Last_Name,Gender,Age,Department,Location,Employee_Status,Pay_Grade,Start_Date
89,HI260286,Charles,Davis,Male,65,CNC Machinist,Administrative Offices,2,18,2024-02-26
90,HI497686,Jessica,Brown,Female,43,CNC Machinist,Paint Shops,3,22,2024-02-26
91,HI104533,Barbara,Martinez,Unknown,50,CNC Machinist,Administrative Offices,2,18,2024-02-19
92,HI000185,Charles,Davis,Male,35,CNC Machinist,Cranes and Heavy Lifting Equipment,3,18,2024-02-19
93,HI844284,Mary,Williams,Female,39,CNC Machinist,Paint Shops,3,28,2024-02-12
94,HI398057,John,Miller,Male,59,CNC Machinist,Dry Docks,1,22,2024-02-12
95,HI383533,Charles,Smith,Male,61,CNC Machinist,Testing Facilities,2,18,2024-02-05
96,HI194741,David,Davis,Male,61,CNC Machinist,Slipways,2,22,2024-02-05
97,HI286198,William,Miller,Unknown,18,CNC Machinist,Outfitting Docks,4,25,2024-01-29
98,HI605523,William,Johnson,Male,18,CNC Machinist,Storage Areas,1,22,2024-01-29
99,HI889626,William,Garcia,Male,26,CNC Machinist,Dry Docks,3,18,2024-01-29
100,HI872923,Elizabeth,Brown,Female,21,CNC Machinist,Outfitting Docks,4,22,2024-01-22
101,HI431003,Patricia,Smith,Female,42,CNC Machinist,Paint Shops,4,25,2024-01-15
102,HI458287,Thomas,Miller,Male,52,CNC Machinist,Slipways,1,25,2024-01-08
103,HI164295,Joseph,Brown,Male,51,CNC Machinist,Administrative Offices,2,28,2024-01-08
104,HI424413,John,Rodriguez,Male,53,CNC Machinist,Wet Docks,3,22,2024-01-01
105,HI120613,Richard,Smith,Male,48,CNC Machinist,Paint Shops,4,22,2023-12-25
106,HI537287,Robert,Rodriguez,Male,39,CNC Machinist,Storage Areas,3,25,2023-12-25
107,HI891305,Elizabeth,Williams,Female,32,CNC Machinist,Wet Docks,2,25,2023-12-25
108,HI640765,Susan,Jones,Female,19,CNC Machinist,Administrative Offices,3,22,2023-12-18
109,HI646906,Thomas,Martinez,Male,62,CNC Machinist,Paint Shops,1,22,2023-12-18
110,HI111675,William,Brown,Male,59,CNC Machinist,Cranes and Heavy Lifting Equipment,1,18,2023-12-18
111,HI636592,James,Miller,Male,29,CNC Machinist,Testing Facilities,3,28,2023-12-11
112,HI265654,Robert,Martinez,Male,34,CNC Machinist,Storage Areas,3,18,2023-12-11
113,HI028883,Elizabeth,Brown,Female,61,CNC Machinist,Fabrication Shops,3,28,2023-12-04
114,HI306874,Elizabeth,Brown,Female,55,CNC Machinist,Wet Docks,2,18,2023-11-27
115,HI197781,Elizabeth,Brown,Female,36,CNC Machinist,Cranes and Heavy Lifting Equipment,4,25,2023-11-27
116,HI876422,David,Davis,Male,47,CNC Machinist,Outfitting Docks,2,28,2023-11-20
117,HI388736,Charles,Rodriguez,Male,45,CNC Machinist,Testing Facilities,2,22,2023-11-20
118,HI832373,Thomas,Miller,Male,41,CNC Machinist,Fabrication Shops,2,25,2023-11-13
119,HI464521,David,Jones,Male,23,CNC Machinist,Storage Areas,1,25,2023-11-13
120,HI230334,Susan,Miller,Female,20,CNC Machinist,Cranes and Heavy Lifting Equipment,2,18,2023-11-13
121,HI432763,Charles,Jones,Male,60,CNC Machinist,Storage Areas,1,28,2023-11-13
122,HI828716,James,Garcia,Male,64,CNC Machinist,Fabrication Shops,2,25,2023-11-06
123,HI225180,Karen,Rodriguez,Female,42,CNC Machinist,Testing Facilities,2,25,2023-11-06
124,HI136637,Robert,Davis,Unknown,44,CNC Machinist,Paint Shops,2,28,2023-11-06
125,HI652631,Elizabeth,Martinez,Female,24,CNC Machinist,Outfitting Docks,4,25,2023-10-30
126,HI169124,Robert,Miller,Male,60,CNC Machinist,Cranes and Heavy Lifting Equipment,4,28,2023-10-30
127,HI622833,Robert,Jones,Male,51,CNC Machinist,Storage Areas,2,18,2023-10-23
128,HI945314,Elizabeth,Davis,Female,63,CNC Machinist,Administrative Offices,2,25,2023-10-16
129,HI434503,Thomas,Williams,Male,56,CNC Machinist,Cranes and Heavy Lifting Equipment,3,28,2023-10-16
130,HI003012,Jennifer,Jones,Female,51,CNC Machinist,Slipways,1,22,2023-10-09
131,HI704670,David,Miller,Male,55,CNC Machinist,Wet Docks,3,18,2023-10-09
132,HI839284,James,Williams,Male,18,CNC Machinist,Dry Docks,1,18,2023-10-09
133,HI063761,Charles,Jones,Male,26,CNC Machinist,Cranes and Heavy Lifting Equipment,4,22,2023-10-02
134,HI804212,John,Jones,Male,40,CNC Machinist,Wet Docks,1,22,2023-10-02
135,HI701736,William,Rodriguez,Male,57,CNC Machinist,Administrative Offices,2,22,2023-09-25
136,HI442967,Richard,Garcia,Male,65,CNC Machinist,Outfitting Docks,2,22,2023-09-25
137,HI732829,Mary,Williams,Female,26,CNC Machinist,Slipways,4,28,2023-09-25
138,HI001896,Jennifer,Davis,Female,36,CNC Machinist,Slipways,3,28,2023-09-18
139,HI063498,James,Rodriguez,Male,45,CNC Machinist,Testing Facilities,2,22,2023-09-11
140,HI793541,Robert,Johnson,Male,35,CNC Machinist,Slipways,1,28,2023-09-11
141,HI220484,William,Johnson,Male,48,CNC Machinist,Wet Docks,3,18,2023-09-04
142,HI955467,Richard,Jones,Male,47,CNC Machinist,Cranes and Heavy Lifting Equipment,4,18,2023-08-28
143,HI219810,Linda,Garcia,Female,41,CNC Machinist,Storage Areas,2,28,2023-08-28
144,HI857530,Joseph,Davis,Male,61,CNC Machinist,Administrative Offices,1,18,2023-08-21
145,HI125328,Richard,Smith,Male,35,CNC Machinist,Testing Facilities,3,25,2023-08-21
146,HI804612,David,Williams,Male,19,CNC Machinist,Cranes and Heavy Lifting Equipment,3,28,2023-08-07
147,HI706875,Karen,Garcia,Female,26,CNC Machinist,Administrative Offices,3,28,2023-07-31
148,HI374867,Thomas,Brown,Male,35,CNC Machinist,Dry Docks,4,22,2023-07-24
149,HI248757,Patricia,Williams,Female,64,CNC Machinist,Dry Docks,3,28,2023-07-24
150,HI322284,Jessica,Davis,Female,44,CNC Machinist,Testing Facilities,3,25,2023-07-17
151,HI521122,Jennifer,Martinez,Female,34,CNC Machinist,Slipways,2,28,2023-07-17
152,HI448379,Elizabeth,Miller,Unknown,55,CNC Machinist,Fabrication Shops,3,22,2023-07-10
153,HI604609,Thomas,Johnson,Male,38,CNC Machinist,Slipways,2,28,2023-07-10
154,HI141764,Joseph,Williams,Male,61,CNC Machinist,Administrative Offices,3,22,2023-07-10
155,HI109397,Michael,Davis,Male,34,CNC Machinist,Dry Docks,2,25,2023-07-03
156,HI615991,Jennifer,Rodriguez,Female,61,CNC Machinist,Cranes and Heavy Lifting Equipment,2,25,2023-06-26
157,HI171175,Karen,Jones,Female,25,CNC Machinist,Administrative Offices,2,28,2023-06-19
158,HI063505,Robert,Johnson,Male,25,CNC Machinist,Cranes and Heavy Lifting Equipment,2,25,2023-06-19
159,HI219241,James,Smith,Male,54,CNC Machinist,Storage Areas,2,25,2023-06-12
160,HI097715,John,Williams,Male,51,CNC Machinist,Dry Docks,2,25,2023-06-12
161,HI262940,James,Johnson,Male,45,CNC Machinist,Cranes and Heavy Lifting Equipment,3,28,2023-06-12
162,HI880989,Thomas,Smith,Male,64,CNC Machinist,Fabrication Shops,4,25,2023-06-12
163,HI171639,Sarah,Rodriguez,Female,21,CNC Machinist,Storage Areas,2,25,2023-06-12
164,HI019976,James,Smith,Male,48,CNC Machinist,Cranes and Heavy Lifting Equipment,4,28,2023-06-05
165,HI713191,Elizabeth,Garcia,Female,18,CNC Machinist,Paint Shops,2,28,2023-05-29
166,HI786404,Linda,Williams,Unknown,30,CNC Machinist,Wet Docks,4,25,2023-05-29
167,HI720981,Charles,Miller,Male,31,CNC Machinist,Testing Facilities,1,28,2023-05-29
168,HI376963,David,Davis,Male,63,CNC Machinist,Testing Facilities,1,25,2023-05-29
169,HI065549,Charles,Smith,Male,21,CNC Machinist,Storage Areas,4,25,2023-05-22
170,HI236320,John,Davis,Male,54,CNC Machinist,Outfitting Docks,2,25,2023-05-22
171,HI744196,Charles,Rodriguez,Male,32,CNC Machinist,Fabrication Shops,4,28,2023-05-15
172,HI944579,Susan,Jones,Female,38,CNC Machinist,Outfitting Docks,2,28,2023-05-15
173,HI656300,Thomas,Johnson,Male,43,CNC Machinist,Testing Facilities,1,22,2023-05-15
174,HI472405,William,Martinez,Male,25,CNC Machinist,Dry Docks,4,25,2023-05-01
175,HI022125,James,Garcia,Male,20,CNC Machinist,Fabrication Shops,4,18,2023-05-01
176,HI817101,Mary,Williams,Unknown,60,CNC Machinist,Cranes and Heavy Lifting Equipment,2,22,2023-05-01
177,HI848144,Linda,Martinez,Female,21,CNC Machinist,Slipways,2,28,2023-05-01
178,HI105443,Joseph,Smith,Unknown,61,CNC Machinist,Outfitting Docks,1,18,2023-04-24
179,HI701433,Mary,Johnson,Female,20,CNC Machinist,Wet Docks,3,25,2023-04-24
180,HI826411,John,Smith,Male,60,CNC Machinist,Dry Docks,1,18,2023-04-17
181,HI767727,Joseph,Brown,Male,54,CNC Machinist,Outfitting Docks,4,22,2023-04-17
182,HI248515,James,Rodriguez,Male,61,CNC Machinist,Dry Docks,3,22,2023-04-10
183,HI543705,Charles,Smith,Male,56,CNC Machinist,Storage Areas,4,28,2023-04-10
184,HI635671,Thomas,Miller,Male,42,CNC Machinist,Fabrication Shops,4,28,2023-04-10
185,HI157144,Linda,Miller,Female,58,CNC Machinist,Wet Docks,2,25,2023-04-03
186,HI948847,Patricia,Garcia,Female,51,CNC Machinist,Testing Facilities,2,22,2023-03-20
187,HI492854,Susan,Garcia,Female,36,CNC Machinist,Testing Facilities,3,25,2023-03-20
188,HI454019,John,Brown,Unknown,27,CNC Machinist,Paint Shops,3,18,2023-03-20
189,HI926597,Thomas,Martinez,Male,25,CNC Machinist,Outfitting Docks,3,28,2023-03-13
190,HI524164,John,Brown,Male,52,CNC Machinist,Paint Shops,3,18,2023-03-13
191,HI390728,Joseph,Smith,Male,57,CNC Machinist,Administrative Offices,2,28,2023-03-06
192,HI529465,William,Williams,Male,45,CNC Machinist,Testing Facilities,1,18,2023-03-06
193,HI396686,Sarah,Garcia,Female,22,CNC Machinist,Slipways,2,28,2023-03-06
194,HI582819,Thomas,Davis,Male,22,CNC Machinist,Wet Docks,3,25,2023-02-27
195,HI909502,Thomas,Williams,Unknown,33,CNC Machinist,Administrative Offices,3,28,2023-02-27
196,HI316492,Richard,Williams,Unknown,18,CNC Machinist,Dry Docks,4,28,2023-02-27
197,HI795743,James,Martinez,Male,65,CNC Machinist,Outfitting Docks,3,28,2023-02-20
198,HI215196,William,Smith,Male,46,CNC Machinist,Outfitting Docks,3,18,2023-02-20
199,HI302953,Robert,Rodriguez,Male,45,CNC Machinist,Testing Facilities,4,18,2023-02-20
200,HI834663,Linda,Brown,Female,39,CNC Machinist,Outfitting Docks,1,25,2023-02-20
201,HI602922,Barbara,Davis,Female,23,CNC Machinist,Administrative Offices,4,25,2023-02-06
202,HI969055,John,Garcia,Male,43,CNC Machinist,Cranes and Heavy Lifting Equipment,3,22,2023-02-06
203,HI349384,Joseph,Davis,Male,61,CNC Machinist,Dry Docks,1,28,2023-02-06
204,HI674221,Jessica,Davis,Female,44,CNC Machinist,Fabrication Shops,3,18,2023-02-06
205,HI182654,Thomas,Martinez,Unknown,47,CNC Machinist,Paint Shops,3,18,2023-01-30
206,HI639551,John,Brown,Male,49,CNC Machinist,Administrative Offices,4,25,2023-01-30
207,HI570826,Thomas,Martinez,Male,41,CNC Machinist,Paint Shops,4,28,2023-01-23
208,HI046286,William,Brown,Male,26,CNC Machinist,Outfitting Docks,3,18,2023-01-23
209,HI990504,Sarah,Williams,Female,32,CNC Machinist,Slipways,1,25,2023-01-16
210,HI277362,Karen,Martinez,Female,51,CNC Machinist,Testing Facilities,3,22,2023-01-16
211,HI130999,Barbara,Williams,Female,52,CNC Machinist,Storage Areas,1,28,2023-01-16
212,HI720998,Richard,Brown,Male,49,CNC Machinist,Cranes and Heavy Lifting Equipment,4,28,2023-01-16
213,HI025567,John,Rodriguez,Male,40,CNC Machinist,Fabrication Shops,3,18,2023-01-16
214,HI316948,Patricia,Jones,Female,24,CNC Machinist,Dry Docks,2,25,2023-01-16
215,HI657265,Linda,Jones,Female,23,CNC Machinist,Wet Docks,4,22,2023-01-09
216,HI710514,David,Jones,Male,35,CNC Machinist,Wet Docks,2,28,2023-01-02
217,HI545280,Linda,Miller,Female,42,CNC Machinist,Slipways,1,25,2023-01-02
218,HI773122,Robert,Smith,Male,49,CNC Machinist,Paint Shops,1,22,2023-01-02
219,HI516980,David,Rodriguez,Male,32,CNC Machinist,Testing Facilities,1,28,2022-12-26
220,HI817130,Charles,Brown,Male,56,CNC Machinist,Cranes and Heavy Lifting Equipment,2,18,2022-12-26
221,HI153795,Robert,Brown,Male,47,CNC Machinist,Administrative Offices,1,28,2022-12-26
222,HI679258,Michael,Rodriguez,Male,41,CNC Machinist,Outfitting Docks,4,22,2022-12-19
223,HI528635,Elizabeth,Davis,Female,32,CNC Machinist,Slipways,3,22,2022-12-12
224,HI144314,David,Garcia,Male,61,CNC Machinist,Outfitting Docks,3,22,2022-12-05
225,HI575939,Sarah,Rodriguez,Female,48,CNC Machinist,Testing Facilities,4,25,2022-11-28
226,HI009204,Charles,Brown,Male,21,CNC Machinist,Paint Shops,4,28,2022-11-21
227,HI544553,William,Miller,Male,23,CNC Machinist,Storage Areas,2,28,2022-11-21
228,HI175903,Mary,Johnson,Female,50,CNC Machinist,Testing Facilities,2,28,2022-11-14
229,HI301539,Karen,Smith,Female,39,CNC Machinist,Paint Shops,3,25,2022-11-07
230,HI147210,Mary,Johnson,Female,43,CNC Machinist,Cranes and Heavy Lifting Equipment,3,22,2022-11-07
231,HI410425,Barbara,Martinez,Female,38,CNC Machinist,Dry Docks,4,25,2022-10-31
232,HI714253,Elizabeth,Rodriguez,Female,45,CNC Machinist,Slipways,4,28,2022-10-31
233,HI783126,Karen,Smith,Unknown,26,CNC Machinist,Outfitting Docks,2,28,2022-10-31
234,HI012977,James,Garcia,Male,19,CNC Machinist,Testing Facilities,1,28,2022-10-31
235,HI422291,Thomas,Williams,Male,20,CNC Machinist,Dry Docks,1,18,2022-10-24
236,HI061434,Patricia,Martinez,Female,19,CNC Machinist,Wet Docks,1,18,2022-10-24
237,HI887791,William,Brown,Male,25,CNC Machinist,Cranes and Heavy Lifting Equipment,4,25,2022-10-24
238,HI952979,Sarah,Williams,Female,36,CNC Machinist,Administrative Offices,2,25,2022-10-24
239,HI923887,Charles,Jones,Male,59,CNC Machinist,Paint Shops,2,22,2022-10-17
240,HI091050,John,Davis,Male,39,CNC Machinist,Testing Facilities,3,25,2022-10-17
241,HI031414,Richard,Williams,Male,33,CNC Machinist,Testing Facilities,1,22,2022-10-17
242,HI320251,Jessica,Williams,Unknown,44,CNC Machinist,Slipways,2,18,2022-10-17
243,HI449111,Charles,Martinez,Male,23,CNC Machinist,Testing Facilities,1,22,2022-10-10
244,HI403617,Susan,Miller,Unknown,34,CNC Machinist,Storage Areas,1,22,2022-10-10
245,HI820204,Sarah,Davis,Female,61,CNC Machinist,Cranes and Heavy Lifting Equipment,3,25,2022-10-10
246,HI155016,Michael,Davis,Male,24,CNC Machinist,Wet Docks,3,22,2022-10-10
247,HI658783,Barbara,Rodriguez,Female,63,CNC Machinist,Dry Docks,2,28,2022-10-03
248,HI276268,Robert,Rodriguez,Male,25,CNC Machinist,Slipways,2,25,2022-09-26
249,HI861694,Patricia,Miller,Female,63,CNC Machinist,Cranes and Heavy Lifting Equipment,3,18,2022-09-26
250,HI223503,David,Smith,Unknown,49,CNC Machinist,Dry Docks,3,28,2022-09-19
251,HI088472,Michael,Rodriguez,Male,52,CNC Machinist,Dry Docks,2,25,2022-09-19
252,HI422448,Karen,Garcia,Female,57,CNC Machinist,Dry Docks,1,25,2022-09-19
253,HI451232,John,Smith,Male,19,CNC Machinist,Fabrication Shops,3,18,2022-09-19
254,HI304274,James,Smith,Male,38,CNC Machinist,Storage Areas,4,18,2022-09-19
255,HI683066,Patricia,Smith,Female,51,CNC Machinist,Storage Areas,3,25,2022-09-12
256,HI427683,Barbara,Garcia,Female,64,CNC Machinist,Storage Areas,2,18,2022-09-12
257,HI884627,David,Rodriguez,Male,25,CNC Machinist,Wet Docks,2,22,2022-09-12
258,HI832733,Joseph,Brown,Male,20,CNC Machinist,Outfitting Docks,3,22,2022-09-05
259,HI375969,Richard,Martinez,Male,65,CNC Machinist,Administrative Offices,1,25,2022-09-05
260,HI078082,David,Brown,Male,31,CNC Machinist,Fabrication Shops,2,18,2022-08-29
261,HI049188,Susan,Brown,Female,32,CNC Machinist,Paint Shops,1,28,2022-08-29
262,HI422927,James,Davis,Male,29,CNC Machinist,Cranes and Heavy Lifting Equipment,3,28,2022-08-22
263,HI356151,Linda,Jones,Female,42,CNC Machinist,Cranes and Heavy Lifting Equipment,2,18,2022-08-22
264,HI272395,Sarah,Smith,Female,50,CNC Machinist,Outfitting Docks,3,22,2022-08-15
265,HI849467,Elizabeth,Davis,Female,61,CNC Machinist,Testing Facilities,4,22,2022-08-15
266,HI134861,John,Martinez,Male,52,CNC Machinist,Slipways,2,18,2022-08-15
267,HI080158,Sarah,Davis,Female,30,CNC Machinist,Cranes and Heavy Lifting Equipment,4,28,2022-08-15
268,HI134457,David,Smith,Male,18,CNC Machinist,Paint Shops,1,28,2022-08-15
269,HI531153,Thomas,Brown,Male,61,CNC Machinist,Storage Areas,2,18,2022-08-15
270,HI057257,Michael,Brown,Male,30,CNC Machinist,Testing Facilities,4,22,2022-08-08
271,HI196961,James,Rodriguez,Male,34,CNC Machinist,Paint Shops,1,22,2022-08-01
272,HI257748,Michael,Martinez,Male,27,CNC Machinist,Storage Areas,1,22,2022-08-01
273,HI025425,Jessica,Smith,Female,26,CNC Machinist,Slipways,4,22,2022-08-01
274,HI419221,John,Jones,Male,25,CNC Machinist,Slipways,3,25,2022-07-25
275,HI454138,David,Garcia,Male,20,CNC Machinist,Paint Shops,1,28,2022-07-25
276,HI055270,Susan,Brown,Female,19,CNC Machinist,Testing Facilities,2,18,2022-07-18
277,HI686744,Linda,Johnson,Unknown,23,CNC Machinist,Fabrication Shops,2,25,2022-07-11
278,HI945880,Barbara,Martinez,Female,56,CNC Machinist,Testing Facilities,1,22,2022-07-04
279,HI754615,Mary,Miller,Female,22,CNC Machinist,Testing Facilities,3,28,2022-06-27
280,HI623821,John,Johnson,Male,23,CNC Machinist,Outfitting Docks,2,18,2022-06-20
281,HI322906,Elizabeth,Smith,Unknown,34,CNC Machinist,Storage Areas,2,18,2022-06-20
282,HI324868,Joseph,Johnson,Male,58,CNC Machinist,Cranes and Heavy Lifting Equipment,4,28,2022-06-20
283,HI519688,Elizabeth,Davis,Female,57,CNC Machinist,Wet Docks,4,28,2022-06-20
284,HI846461,David,Johnson,Unknown,24,CNC Machinist,Testing Facilities,2,25,2022-06-13
285,HI300197,Karen,Brown,Female,43,CNC Machinist,Slipways,3,18,2022-06-06
286,HI937979,Patricia,Garcia,Female,49,CNC Machinist,Slipways,3,18,2022-05-30
